,I,D,S,R
216,87651,8739,5677409,226201
217,86448,8778,5676234,228540
218,86868,8819,5674683,229630
219,84146,8880,5673605,233369
220,81672,8934,5672436,236958
221,79405,8995,5671309,240291
222,77035,9053,5670175,243737
223,75435,9105,5669045,246415
224,74934,9160,5667946,247960
225,74481,9209,5666853,249457
226,72584,9257,5665771,252388
227,70768,9294,5664668,255270
228,68586,9336,5663574,258504
229,65950,9383,5662487,262180
230,64294,9435,5661395,264876
231,62891,9484,5660399,267226
232,62783,9531,5659442,268244
233,61932,9572,5658529,269967
234,61314,9609,5657620,271457
235,59876,9657,5656709,273758
236,59116,9697,5655762,275425
237,57490,9736,5654811,277963
238,57163,9774,5653872,279191
239,56751,9809,5652929,280511
240,54980,9858,5651992,283170
241,53268,9897,5651030,285805
242,51597,9945,5650044,288414
243,49963,9971,5649061,291005
244,48149,10010,5648086,293755
245,47678,10047,5647118,295157
246,47180,10090,5646162,296568
247,46707,10132,5645221,297940
248,44865,10184,5644262,300689
249,42981,10224,5643301,303494
250,41031,10270,5642344,306355
251,39602,10316,5641401,308681
252,39661,10353,5640464,309522
253,39865,10398,5639531,310206
254,39565,10440,5638615,311380
255,39465,10470,5637688,312377
256,38309,10503,5636770,314418
257,37165,10541,5635849,316445
258,36955,10577,5634950,317518
259,37508,10614,5634069,317809
260,38093,10649,5633204,318054
261,37500,10691,5632392,319417
262,37567,10726,5631585,320122
263,37061,10763,5630781,321395
264,36192,10799,5629999,323010
265,35717,10831,5629250,324202
266,35605,10864,5628549,324982
267,35559,10894,5627852,325695
268,35181,10930,5627133,326756
269,34881,10967,5626418,327734
270,34459,10998,5625708,328835
271,34101,11027,5625000,329872
272,33763,11063,5624283,330891
273,33491,11091,5623572,331846
274,33355,11118,5622865,332662
275,32684,11149,5622163,334004
276,32414,11185,5621458,334943
277,32138,11218,5620763,335881
278,31882,11248,5620060,336810
279,31597,11279,5619361,337763
280,32204,11298,5618667,337831
281,32624,11332,5617961,338083
282,32101,11362,5617260,339277
283,31808,11390,5616548,340254
284,31044,11417,5615829,341710
285,31299,11447,5615125,342129
286,31222,11479,5614424,342875
287,31725,11508,5613729,343038
288,32059,11534,5613037,343370
289,31098,11569,5612350,344983
290,30586,11603,5611657,346154
291,30327,11638,5610975,347060
292,29983,11675,5610281,348061
293,29621,11714,5609592,349073
294,29321,11742,5608891,350046
295,29156,11779,5608185,350880
296,28858,11817,5607473,351852
297,28460,11851,5606750,352939
298,28109,11878,5606034,353979
299,27790,11911,5605309,354990
300,27515,11945,5604572,355968
301,27215,11981,5603854,356950
302,27130,12015,5603150,357705
303,27004,12049,5602441,358506
304,26809,12082,5601730,359379
305,26608,12117,5601015,360260
306,26428,12148,5600293,361131
307,26259,12182,5599567,361992
308,26130,12219,5598838,362813
309,26092,12249,5598114,363545
310,25965,12284,5597397,364354
311,25727,12323,5596663,365287
312,25395,12354,5595922,366329
313,24935,12389,5595183,367493
314,23974,12423,5594434,369169
315,23636,12459,5593667,370238
316,23694,12498,5592904,370904
317,23391,12541,5592132,371936
318,22711,12578,5591348,373363
319,21961,12618,5590557,374864
320,21467,12661,5589742,376130
321,20938,12696,5588909,377457
322,21326,12736,5588067,377871
323,22023,12774,5587216,377987
324,21555,12820,5586372,379253
325,21194,12859,5585533,380414
326,20608,12890,5584697,381805
327,20243,12923,5583857,382977
328,19800,12964,5583011,384225
329,20092,13003,5582182,384723
330,20061,13043,5581360,385536
331,19591,13081,5580543,386785
332,19383,13117,5579715,387785
333,18946,13156,5578874,389024
334,18691,13193,5578040,390076
335,18404,13234,5577183,391179
336,18325,13277,5576322,392076
337,18250,13317,5575468,392965
338,17802,13366,5574622,394210
339,16975,13414,5573770,395841
340,16405,13457,5572911,397227
341,16139,13502,5572048,398311
342,15754,13547,5571181,399518
343,15476,13595,5570319,400610
344,15334,13643,5569454,401569
345,15270,13696,5568552,402482
346,14697,13759,5567625,403919
347,13825,13820,5566679,405676
348,13261,13899,5565709,407131
349,12812,13965,5564713,408510
350,13319,14038,5563694,408949
351,13860,14118,5562648,409374
352,12971,14200,5561583,411246
353,12120,14293,5560491,413096
354,11195,14392,5559348,415065
355,10394,14490,5558154,416962
356,9201,14597,5556907,419295
357,9042,14703,5555609,420646
358,8963,14813,5554274,421950
359,7935,14932,5552900,424233
360,7347,15043,5551397,426213
361,6877,15158,5549785,428180
362,5662,15259,5548114,430965
363,4695,15369,5546381,433555
364,5224,15473,5544597,434706
365,6209,15573,5542769,435449
366,5432,15672,5540900,437996
367,4286,15779,5538994,440941
368,2735,15880,5537057,444328
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,0,0
375,0,0,0,0
376,0,0,0,0
377,0,0,0,0
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,0,0,0,0
382,0,0,0,0
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
389,0,0,0,0
390,0,0,0,0
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,0,0,0
396,0,0,0,0
397,0,0,0,0
398,0,0,0,0
399,0,0,0,0
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
