iter	MAPE
0	0.1825180003
1	0.1635275887
2	0.1490668053
3	0.1332546096
4	0.1224499428
5	0.1144215384
6	0.1104007687
7	0.1002680129
8	0.09035600753
9	0.08136235726
10	0.07344051797
11	0.07094184676
12	0.06440631959
13	0.05935203976
14	0.05437963706
15	0.04962604834
16	0.04576967962
17	0.04262088032
18	0.03950962569
19	0.03669620691
20	0.03426209999
21	0.03217763362
22	0.03018068083
23	0.02831087444
24	0.02788432005
25	0.02664599263
26	0.02525455685
27	0.02391852551
28	0.02278754883
29	0.02253873686
30	0.02230720896
31	0.02126151002
32	0.02028649107
33	0.01945577212
34	0.01929551017
35	0.01819425097
36	0.01760473778
37	0.01686773736
38	0.01639036464
39	0.01619180835
40	0.01590405211
41	0.0158145327
42	0.01574777728
43	0.01536832922
44	0.01508811752
45	0.01432693072
46	0.01388904415
47	0.01365299629
48	0.01353714198
49	0.0134718848
50	0.01292698304
51	0.01240984138
52	0.01221286615
53	0.01216942674
54	0.01189132923
55	0.01176833598
56	0.01140463781
57	0.01112978065
58	0.01094037069
59	0.01060708012
60	0.01030798162
61	0.01008029329
62	0.01000467319
63	0.009992499083
64	0.009857829599
65	0.009801750857
66	0.00956238187
67	0.009418357368
68	0.009275728064
69	0.009117972081
70	0.008939727952
71	0.008778457574
72	0.008705297075
73	0.008618954807
74	0.008505479241
75	0.008339743825
76	0.008304808674
77	0.008249270628
78	0.008203583243
79	0.008087378246
80	0.008057505206
81	0.008018889348
82	0.007968367293
83	0.007875558994
84	0.007805519067
85	0.007711125115
86	0.00766040284
87	0.00759372315
88	0.007532067942
89	0.00742015499
90	0.007400298858
91	0.007359825405
92	0.007247066588
93	0.0071774897
94	0.007102004174
95	0.007099188033
96	0.007027496599
97	0.006960142329
98	0.006952196186
99	0.006935775667
100	0.00692894611
101	0.006905274881
102	0.006883683658
103	0.006771291859
104	0.006740136069
105	0.006676485948
106	0.006614214724
107	0.006549091238
108	0.006540514558
109	0.006483371238
110	0.00645533796
111	0.006439562856
112	0.006419429734
113	0.006327605309
114	0.006283040058
115	0.00625868682
116	0.006253390279
117	0.006189389447
118	0.006166870635
119	0.006123331701
120	0.006037878582
121	0.00597601795
122	0.005940881415
123	0.005874774101
124	0.005801544981
125	0.005796437313
126	0.005764826599
127	0.005728950511
128	0.005660351701
129	0.005658025384
130	0.005644188663
131	0.005615378524
132	0.005581346507
133	0.005563759599
134	0.005562909094
135	0.005497073363
136	0.005474849371
137	0.00547301314
138	0.005441422142
139	0.005424902332
140	0.005423907051
141	0.005333543497
142	0.005318001779
143	0.005305320293
144	0.005302206595
145	0.005297786177
146	0.005273171618
147	0.005256487822
148	0.005246409163
149	0.005216096423
150	0.005214405802
151	0.005212580211
152	0.005206966707
153	0.005166498927
154	0.005147037594
155	0.005127545574
156	0.005077350967
157	0.005074341412
158	0.005073745769
159	0.005034100156
160	0.005021438459
161	0.005006008984
162	0.004998641983
163	0.004996713071
164	0.004992742688
165	0.004985190905
166	0.004951460414
167	0.004949324827
168	0.004945771831
169	0.00493541658
170	0.004924088319
171	0.004916703682
172	0.004881461013
173	0.004878454843
174	0.004874094287
175	0.004870309556
176	0.004849223595
177	0.004840802271
178	0.004836347267
179	0.004809876404
180	0.004807052387
181	0.004804696221
182	0.004766204995
183	0.004708637292
184	0.004690433951
185	0.004657251149
186	0.004654817887
187	0.004643827013
188	0.004641866706
189	0.004633568648
190	0.004622398865
191	0.004620645323
192	0.004611773323
193	0.004611236462
194	0.004599621894
195	0.004590700437
196	0.004584752483
197	0.004548045656
198	0.004539343372
199	0.004527546464
200	0.004527031955
201	0.004523825832
202	0.004520049526
203	0.004513573311
204	0.004498680993
205	0.004497752116
206	0.00449740363
207	0.004475058945
208	0.004467515073
209	0.00444584693
210	0.004434770532
211	0.00441194406
212	0.004410762763
213	0.004406034368
214	0.004396719568
215	0.004393509917
216	0.004365421689
217	0.004342526429
218	0.004331726057
219	0.004328235948
220	0.004326989674
221	0.004324766745
222	0.004322674481
223	0.004320781437
224	0.004319545303
225	0.004306980872
226	0.004295592999
227	0.004286677374
228	0.004276940829
229	0.004265111054
230	0.004256018379
231	0.004240549472
232	0.004238783745
233	0.00423320156
234	0.004228190227
235	0.004227545851
236	0.004225146892
237	0.004220759088
238	0.004217809461
239	0.004212090253
240	0.00420850433
241	0.004208186165
242	0.004207588348
243	0.004205436508
244	0.004204693884
245	0.004201049433
246	0.004200411959
247	0.004199209333
248	0.004198470179
249	0.004197484069
250	0.004195781378
251	0.004190452259
252	0.004189778975
253	0.004188704001
254	0.004187838507
255	0.004186802173
256	0.004174247679
257	0.004165433789
258	0.004151434607
259	0.004137130561
260	0.004131450623
261	0.004128933607
262	0.004127952337
263	0.004127413936
264	0.00412698894
265	0.00412534844
266	0.00412020959
267	0.004107021593
268	0.004105843835
269	0.004105233163
270	0.004099097741
271	0.004097410259
272	0.004083782564
273	0.004083579559
274	0.004077136834
275	0.004070004582
276	0.004068635319
277	0.00406834096
278	0.004067954263
279	0.004061022452
280	0.004060383625
281	0.004060033467
282	0.004059798096
283	0.004058807868
284	0.004057726662
285	0.004057484331
286	0.004041583701
287	0.004030815138
288	0.004029621228
289	0.004017103417
290	0.004016015327
291	0.004012799833
292	0.004002384269
293	0.00400014127
294	0.003991449829
295	0.003990275994
296	0.003989252324
297	0.003986614701
298	0.003973724876
299	0.003973280831
300	0.003967792848
301	0.003965725732
302	0.003964775523
303	0.003964255734
304	0.003963791949
305	0.00396353746
