iter	Passed	Remaining
0	0	1493
1	1	866
2	1	658
3	1	577
4	1	533
5	1	496
6	2	468
7	2	475
8	2	494
9	3	492
10	3	522
11	4	554
12	4	565
13	5	596
14	6	657
15	7	690
16	8	707
17	8	707
18	9	706
19	9	715
20	10	727
21	10	728
22	11	719
23	11	715
24	12	712
25	12	706
26	13	723
27	13	724
28	14	738
29	14	731
30	15	742
31	16	746
32	16	748
33	17	750
34	17	748
35	18	747
36	19	756
37	20	771
38	20	765
39	21	770
40	21	774
41	22	770
42	22	768
43	22	759
44	23	750
45	23	750
46	24	755
47	24	751
48	25	755
49	26	756
50	26	754
51	26	748
52	27	751
53	27	748
54	28	745
55	29	755
56	29	756
57	30	761
58	31	760
59	31	753
60	32	763
61	32	760
62	32	751
63	33	745
64	33	737
65	33	728
66	33	720
67	33	713
68	34	708
69	34	704
70	34	697
71	34	693
72	35	687
73	35	682
74	35	680
75	36	675
76	36	670
77	36	664
78	36	661
79	36	656
80	37	651
81	37	646
82	37	643
83	37	639
84	38	634
85	38	630
86	38	625
87	38	622
88	39	618
89	39	614
90	39	610
91	39	606
92	39	601
93	40	598
94	40	601
95	40	599
96	41	607
97	42	607
98	42	605
99	43	608
100	44	612
101	44	612
102	45	610
103	45	606
104	45	602
105	45	598
106	45	594
107	45	590
108	45	586
109	46	582
110	46	578
111	46	575
112	46	572
113	46	570
114	47	567
115	47	564
116	47	562
117	47	559
118	47	556
119	48	553
120	48	551
121	48	549
122	48	547
123	49	545
124	49	542
125	49	540
126	49	537
127	49	535
128	50	533
129	50	532
130	50	530
131	50	527
132	51	525
133	51	523
134	51	522
135	51	520
136	52	518
137	52	516
138	52	514
139	52	512
140	52	510
141	53	508
142	53	506
143	53	503
144	53	501
145	53	499
146	54	497
147	54	498
148	55	500
149	55	499
150	55	497
151	55	495
152	56	494
153	56	492
154	56	491
155	56	489
156	57	487
157	57	486
158	57	485
159	57	483
160	57	481
161	58	480
162	58	478
163	58	477
164	58	475
165	59	474
166	59	472
167	59	471
168	59	469
169	59	468
170	60	467
171	60	466
172	60	464
173	60	463
174	61	461
175	61	460
176	61	459
177	61	458
178	61	457
179	62	455
180	62	454
181	62	453
182	62	451
183	63	450
184	63	452
185	64	452
186	64	451
187	64	450
188	64	449
189	65	448
190	65	447
191	65	447
192	66	449
193	66	449
194	66	448
195	67	446
196	67	445
197	67	444
198	67	443
199	67	441
200	68	440
201	68	440
202	68	439
203	69	438
204	69	437
205	69	436
206	69	435
207	70	435
208	70	436
209	71	436
210	71	437
211	71	436
212	72	435
213	72	434
214	72	433
215	72	431
216	72	430
217	73	429
218	73	428
219	73	427
220	73	425
221	73	425
222	74	424
223	74	423
224	74	422
225	74	421
226	74	420
227	75	419
228	75	418
229	75	417
230	75	416
231	76	415
232	76	414
233	76	415
234	77	417
235	78	418
236	78	417
237	78	417
238	78	416
239	79	415
240	79	414
241	79	413
242	79	413
243	80	412
244	80	411
245	80	410
246	80	409
247	80	408
248	81	407
249	81	406
250	81	405
251	81	404
252	81	403
253	82	402
254	82	401
255	82	401
256	82	400
257	82	399
258	83	398
259	83	397
260	83	397
261	83	396
262	84	395
263	84	394
264	84	393
265	84	392
266	84	391
267	85	390
268	85	390
269	85	389
270	85	388
271	85	387
272	86	387
273	86	386
274	86	385
275	86	384
276	86	383
277	87	382
278	87	382
279	87	381
280	87	381
281	88	380
282	88	380
283	88	380
284	89	379
285	89	379
286	89	379
287	89	378
288	90	377
289	90	376
290	90	376
291	91	378
292	91	377
293	91	376
294	92	376
295	92	375
296	92	374
297	92	373
298	92	373
299	93	372
300	93	371
301	93	370
302	93	369
303	93	368
304	93	367
305	94	366
306	94	365
307	94	365
308	94	364
309	94	363
310	94	362
311	95	361
312	95	361
313	95	360
314	95	360
315	96	359
316	96	359
317	96	358
318	96	357
319	96	357
320	97	357
321	97	358
322	98	358
323	98	358
324	98	357
325	99	357
326	100	358
327	100	360
328	101	360
329	101	360
330	101	359
331	102	359
332	102	358
333	102	357
334	102	357
335	102	356
336	103	356
337	103	355
338	103	355
339	103	354
340	104	354
341	104	353
342	104	353
343	104	352
344	105	352
345	105	351
346	105	351
347	105	350
348	106	349
349	106	349
350	106	348
351	106	348
352	106	347
353	107	346
354	107	346
355	107	345
356	107	345
357	108	344
358	108	344
359	108	343
360	108	343
361	108	342
362	109	342
363	109	341
364	109	340
365	109	340
366	110	339
367	110	339
368	110	338
369	110	338
370	111	337
371	111	338
372	111	338
373	112	337
374	112	336
375	112	336
376	112	335
377	112	335
378	113	334
379	113	334
380	113	333
381	113	333
382	114	332
383	114	332
384	114	331
385	114	330
386	114	330
387	114	329
388	115	328
389	115	327
390	115	327
391	115	326
392	115	326
393	116	325
394	116	325
395	116	324
396	116	323
397	116	323
398	116	322
399	116	321
400	117	321
401	117	320
402	117	319
403	117	319
404	118	319
405	118	318
406	118	317
407	118	317
408	118	317
409	119	316
410	119	316
411	119	315
412	119	315
413	120	314
414	120	314
415	120	313
416	120	313
417	120	312
418	121	314
419	122	314
420	122	314
421	123	314
422	123	315
423	124	316
424	125	316
425	125	316
426	125	316
427	126	316
428	127	317
429	127	318
430	128	318
431	129	319
432	129	320
433	130	320
434	131	321
435	131	321
436	132	321
437	133	323
438	133	323
439	134	324
440	135	324
441	135	325
442	136	326
443	137	326
444	138	328
445	138	328
446	139	327
447	139	328
448	140	328
449	140	328
450	141	328
451	141	328
452	142	329
453	143	329
454	143	329
455	144	331
456	145	332
457	146	332
458	146	332
459	146	332
460	147	332
461	148	333
462	149	333
463	149	334
464	150	334
465	150	334
466	150	333
467	151	333
468	151	334
469	152	334
470	152	333
471	153	333
472	153	333
473	154	333
474	154	333
475	154	332
476	155	333
477	155	333
478	156	333
479	156	333
480	157	333
481	157	333
482	157	332
483	158	332
484	158	332
485	159	332
486	159	332
487	160	332
488	161	333
489	161	332
490	161	332
491	162	332
492	162	332
493	163	332
494	164	333
495	165	334
496	165	334
497	165	333
498	166	334
499	167	334
500	167	334
501	167	333
502	168	333
503	168	333
504	169	333
505	169	333
506	170	333
507	171	333
508	171	333
509	171	333
510	172	333
511	172	332
512	172	332
513	173	332
514	173	332
515	174	331
516	174	331
517	174	330
518	175	330
519	175	330
520	175	329
521	175	329
522	175	328
523	176	328
524	176	327
525	176	326
526	176	326
527	177	326
528	177	325
529	177	325
530	178	325
531	178	324
532	178	324
533	178	323
534	179	323
535	179	322
536	179	322
537	179	321
538	180	321
539	180	320
540	180	320
541	180	319
542	181	319
543	181	318
544	181	317
545	181	317
546	182	317
547	182	316
548	182	316
549	182	315
550	183	315
551	183	314
552	183	314
553	183	313
554	183	313
555	184	312
556	184	312
557	185	312
558	185	312
559	185	312
560	186	312
561	186	311
562	187	311
563	187	311
564	187	311
565	188	310
566	188	310
567	188	309
568	188	309
569	189	308
570	189	308
571	189	307
572	189	307
573	189	306
574	190	305
575	190	305
576	190	305
577	190	304
578	191	303
579	191	303
580	191	303
581	191	302
582	192	301
583	192	301
584	192	300
585	192	300
586	192	299
587	193	299
588	193	299
589	193	298
590	194	298
591	194	297
592	194	297
593	194	296
594	194	296
595	194	295
596	195	295
597	195	294
598	195	294
599	195	293
600	196	293
601	196	292
602	196	292
603	196	291
604	196	291
605	197	290
606	197	290
607	197	289
608	197	289
609	197	288
610	198	288
611	198	287
612	198	287
613	199	287
614	199	286
615	199	286
616	199	285
617	199	284
618	199	284
619	199	283
620	200	283
621	200	282
622	200	282
623	200	281
624	200	281
625	201	280
626	201	280
627	201	280
628	201	279
629	202	279
630	202	278
631	202	278
632	203	278
633	203	278
634	204	277
635	204	277
636	204	277
637	204	276
638	205	276
639	205	276
640	205	275
641	205	275
642	206	274
643	206	274
644	206	273
645	206	273
646	206	272
647	207	272
648	207	271
649	207	271
650	207	270
651	207	270
652	208	270
653	208	269
654	208	269
655	208	268
656	209	268
657	209	267
658	209	267
659	209	267
660	209	266
661	210	266
662	210	265
663	210	265
664	210	264
665	211	264
666	211	264
667	212	264
668	212	264
669	213	264
670	214	264
671	214	264
672	215	264
673	215	264
674	215	263
675	216	264
676	217	264
677	217	264
678	218	264
679	219	264
680	219	264
681	221	265
682	221	264
683	222	264
684	222	264
685	223	264
686	224	265
687	224	265
688	225	265
689	225	264
690	226	264
691	226	264
692	226	263
693	226	263
694	227	263
695	228	263
696	228	262
697	228	262
698	228	262
699	229	262
700	229	261
701	229	261
702	229	260
703	230	260
704	230	259
705	230	259
706	230	258
707	230	258
708	231	257
709	231	257
710	231	257
711	231	256
712	232	256
713	232	255
714	233	255
715	233	255
716	233	255
717	233	254
718	234	254
719	234	253
720	234	253
721	234	252
722	234	252
723	235	252
724	235	251
725	235	251
726	235	250
727	235	250
728	236	249
729	236	249
730	236	248
731	236	248
732	236	247
733	237	247
734	237	247
735	237	246
736	237	246
737	238	246
738	238	245
739	238	245
740	239	245
741	240	245
742	241	245
743	242	245
744	242	245
745	242	245
746	243	245
747	243	245
748	243	244
749	244	244
750	244	243
751	244	243
752	244	242
753	244	242
754	245	241
755	245	241
756	245	241
757	245	240
758	246	240
759	246	239
760	246	239
761	246	238
762	246	238
763	247	238
764	247	237
765	247	237
766	247	236
767	247	236
768	248	235
769	248	235
770	248	235
771	248	234
772	249	234
773	249	234
774	250	234
775	251	234
776	251	234
777	251	233
778	252	233
779	252	233
780	252	232
781	253	232
782	253	231
783	253	231
784	253	231
785	253	230
786	254	230
787	254	229
788	254	229
789	255	229
790	255	228
791	255	228
792	255	227
793	255	227
794	256	227
795	256	226
796	256	226
797	256	225
798	256	225
799	257	224
800	257	224
801	257	224
802	257	223
803	257	223
804	258	222
805	258	222
806	258	222
807	258	221
808	258	221
809	259	220
810	259	220
811	259	219
812	259	219
813	260	219
814	260	218
815	260	218
816	260	218
817	261	217
818	262	218
819	262	218
820	263	218
821	264	218
822	265	218
823	265	217
824	265	217
825	265	216
826	265	216
827	266	215
828	266	215
829	266	215
830	266	214
831	266	214
832	267	213
833	267	213
834	267	212
835	267	212
836	267	212
837	267	211
838	268	211
839	268	210
840	268	210
841	268	210
842	268	209
843	269	209
844	269	208
845	269	208
846	269	207
847	269	207
848	270	207
849	270	206
850	270	206
851	270	205
852	270	205
853	271	205
854	271	204
855	271	204
856	271	203
857	272	203
858	272	203
859	272	202
860	273	202
861	274	202
862	274	202
863	274	202
864	275	201
865	275	201
866	275	201
867	275	200
868	276	200
869	276	200
870	276	199
871	276	199
872	276	198
873	277	198
874	277	197
875	277	197
876	277	197
877	277	196
878	277	196
879	278	196
880	278	195
881	278	195
882	278	194
883	279	194
884	279	194
885	279	193
886	279	193
887	279	192
888	280	192
889	280	192
890	280	191
891	280	191
892	280	190
893	281	190
894	281	190
895	281	189
896	281	189
897	281	189
898	282	188
899	282	188
900	282	187
901	282	187
902	283	187
903	283	186
904	284	186
905	284	186
906	284	186
907	285	186
908	285	185
909	286	185
910	286	185
911	286	184
912	286	184
913	287	184
914	287	183
915	287	183
916	287	183
917	288	182
918	288	182
919	288	181
920	288	181
921	289	181
922	289	180
923	289	180
924	289	180
925	289	179
926	290	179
927	290	178
928	290	178
929	290	178
930	290	177
931	291	177
932	291	177
933	291	176
934	291	176
935	292	176
936	292	175
937	292	175
938	292	174
939	292	174
940	293	174
941	294	174
942	295	174
943	295	174
944	296	174
945	296	173
946	297	173
947	297	173
948	298	173
949	298	172
950	298	172
951	298	172
952	299	171
953	299	171
954	299	170
955	299	170
956	299	170
957	299	169
958	300	169
959	300	168
960	300	168
961	300	168
962	300	167
963	301	167
964	301	167
965	301	166
966	302	166
967	302	166
968	303	166
969	303	165
970	303	165
971	303	165
972	304	164
973	304	164
974	304	163
975	304	163
976	304	163
977	304	162
978	305	162
979	305	161
980	305	161
981	305	161
982	305	160
983	306	160
984	306	160
985	307	160
986	307	160
987	308	159
988	308	159
989	309	159
990	309	158
991	309	158
992	310	158
993	310	157
994	310	157
995	310	157
996	311	156
997	311	156
998	311	156
999	311	155
1000	311	155
1001	312	155
1002	312	154
1003	312	154
1004	312	154
1005	313	153
1006	313	153
1007	313	153
1008	313	152
1009	314	152
1010	314	152
1011	314	151
1012	314	151
1013	314	150
1014	315	150
1015	315	150
1016	315	150
1017	316	149
1018	316	149
1019	316	148
1020	316	148
1021	316	148
1022	316	147
1023	317	147
1024	317	147
1025	317	146
1026	318	146
1027	318	146
1028	319	146
1029	319	145
1030	320	145
1031	320	145
1032	320	144
1033	321	144
1034	321	144
1035	321	144
1036	321	143
1037	322	143
1038	322	143
1039	323	143
1040	324	142
1041	324	142
1042	324	142
1043	324	141
1044	324	141
1045	325	141
1046	325	140
1047	325	140
1048	325	140
1049	326	139
1050	326	139
1051	326	139
1052	326	138
1053	327	138
1054	327	138
1055	327	137
1056	327	137
1057	327	136
1058	327	136
1059	328	136
1060	328	135
1061	328	135
1062	328	135
1063	328	134
1064	329	134
1065	329	134
1066	329	133
1067	330	133
1068	330	133
1069	331	133
1070	331	132
1071	331	132
1072	332	132
1073	333	132
1074	333	131
1075	333	131
1076	334	131
1077	334	130
1078	334	130
1079	334	130
1080	334	129
1081	335	129
1082	335	129
1083	335	128
1084	335	128
1085	335	128
1086	336	127
1087	336	127
1088	336	127
1089	336	126
1090	336	126
1091	337	125
1092	337	125
1093	337	125
1094	337	124
1095	337	124
1096	337	124
1097	338	123
1098	338	123
1099	338	123
1100	338	122
1101	339	122
1102	339	122
1103	339	121
1104	339	121
1105	339	121
1106	340	120
1107	340	120
1108	340	120
1109	340	119
1110	340	119
1111	341	119
1112	342	119
1113	342	118
1114	343	118
1115	343	118
1116	344	117
1117	344	117
1118	345	117
1119	345	117
1120	345	116
1121	345	116
1122	346	116
1123	346	115
1124	346	115
1125	346	115
1126	346	114
1127	347	114
1128	347	114
1129	347	113
1130	347	113
1131	347	113
1132	348	112
1133	348	112
1134	348	112
1135	348	111
1136	348	111
1137	349	111
1138	349	110
1139	349	110
1140	349	110
1141	349	109
1142	350	109
1143	350	109
1144	350	108
1145	350	108
1146	351	108
1147	351	107
1148	351	107
1149	351	106
1150	351	106
1151	351	106
1152	352	106
1153	353	105
1154	353	105
1155	354	105
1156	354	105
1157	354	104
1158	355	104
1159	356	104
1160	356	104
1161	356	103
1162	357	103
1163	357	103
1164	357	102
1165	357	102
1166	358	102
1167	358	101
1168	358	101
1169	358	101
1170	358	100
1171	359	100
1172	359	100
1173	359	99
1174	360	99
1175	360	99
1176	360	98
1177	360	98
1178	361	98
1179	361	97
1180	361	97
1181	361	97
1182	361	96
1183	362	96
1184	362	96
1185	362	96
1186	362	95
1187	363	95
1188	363	95
1189	363	94
1190	363	94
1191	363	94
1192	364	93
1193	365	93
1194	365	93
1195	366	93
1196	366	92
1197	366	92
1198	367	92
1199	367	91
1200	368	91
1201	368	91
1202	368	90
1203	368	90
1204	368	90
1205	369	90
1206	369	89
1207	369	89
1208	369	89
1209	370	88
1210	370	88
1211	370	88
1212	370	87
1213	371	87
1214	371	87
1215	371	86
1216	371	86
1217	371	86
1218	372	85
1219	372	85
1220	373	85
1221	374	85
1222	374	84
1223	374	84
1224	375	84
1225	375	83
1226	375	83
1227	376	83
1228	376	83
1229	377	82
1230	377	82
1231	377	82
1232	378	81
1233	378	81
1234	379	81
1235	379	81
1236	379	80
1237	380	80
1238	380	80
1239	380	79
1240	380	79
1241	381	79
1242	381	78
1243	381	78
1244	381	78
1245	381	77
1246	382	77
1247	382	77
1248	382	76
1249	382	76
1250	383	76
1251	383	75
1252	383	75
1253	383	75
1254	384	75
1255	384	74
1256	384	74
1257	384	74
1258	385	73
1259	385	73
1260	385	73
1261	385	72
1262	385	72
1263	386	72
1264	386	71
1265	386	71
1266	386	71
1267	387	70
1268	387	70
1269	388	70
1270	388	70
1271	389	69
1272	389	69
1273	390	69
1274	390	68
1275	390	68
1276	391	68
1277	391	67
1278	391	67
1279	391	67
1280	391	66
1281	391	66
1282	392	66
1283	393	66
1284	393	65
1285	394	65
1286	394	65
1287	394	64
1288	394	64
1289	394	64
1290	394	63
1291	395	63
1292	395	63
1293	395	62
1294	395	62
1295	395	62
1296	396	62
1297	396	61
1298	396	61
1299	396	61
1300	397	60
1301	397	60
1302	397	60
1303	397	59
1304	398	59
1305	398	59
